,name,github_id,description,category,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,contributor_count,projectrank,show,projectrank_placing,latest_stable_release_published_at,latest_stable_release_number,github_release_downloads,monthly_downloads,release_count,dependent_project_count,github_dependent_project_count,labels,trending,updated_github_id,gitlab_id,gitlab_url
0,nixpkgs,NixOS/nixpkgs,Nix Packages collection & NixOS.,discovery,https://github.com/NixOS/nixpkgs,https://github.com/NixOS/nixpkgs,MIT,2012-06-04 02:49:46,2025-12-29 00:10:39,2025-12-29 00:04:15,918022.0,46142.0,17293.0,270.0,421960.0,8391.0,43139.0,22877.0,14421.0,37,True,1.0,,,,,,,,,,,,
1,Devbox,jetify-com/devbox,"Instant, portable, and predictable development environments.",development,https://github.com/jetify-com/devbox,https://github.com/jetify-com/devbox,Apache-2.0,2022-08-18 20:27:16,2025-12-25 09:16:03,2025-12-17 16:54:18,1718.0,17.0,284.0,42.0,1943.0,388.0,419.0,11053.0,94.0,29,True,1.0,2025-08-18 20:03:27,0.16.0,1716359.0,68654.0,100.0,,,,,,,
2,Home Manager,nix-community/home-manager,Manage your user configuration just like NixOS.,nixos-modules,https://github.com/nix-community/home-manager,https://github.com/nix-community/home-manager,MIT,2017-01-14 12:11:06,2025-12-28 23:18:19,2025-12-28 23:17:29,5951.0,449.0,2223.0,50.0,5412.0,671.0,2290.0,9089.0,1490.0,27,True,1.0,,,,,,,,,,,,
3,nickel,tweag/nickel,Better configuration for less.,programming-languages,https://github.com/tweag/nickel,https://github.com/tweag/nickel,MIT,2019-01-08 21:43:11,2025-12-26 00:03:39,2025-12-25 15:28:00,4925.0,461.0,109.0,30.0,1700.0,131.0,552.0,2787.0,92.0,27,True,1.0,2025-12-11 22:41:35,1.15.1,155869.0,3463.0,28.0,,,,,,,
4,devenv,cachix/devenv,A Nix-based tool for creating developer shell environments quickly and reproducibly.,development,https://github.com/cachix/devenv,https://github.com/cachix/devenv,Apache-2.0,2022-10-22 20:10:10,2025-12-28 11:58:59,2025-12-28 11:32:54,5005.0,574.0,442.0,26.0,1178.0,301.0,878.0,6106.0,251.0,26,True,1.0,2025-11-27 17:34:14,1.11.2,,,41.0,1.0,1.0,,,,,
5,NixOS-WSL,nix-community/NixOS-WSL,Modules for running NixOS on the Windows Subsystem for Linux.,nixos-modules,https://github.com/nix-community/NixOS-WSL,https://github.com/nix-community/NixOS-WSL,Apache-2.0,2019-12-07 22:29:47,2025-12-22 01:59:10,2025-12-15 23:23:34,707.0,53.0,154.0,25.0,628.0,36.0,212.0,2650.0,46.0,26,True,1.0,2025-08-11 23:21:42,2505.7.0,65612.0,1131.0,10.0,,,,,,,
6,patchelf,NixOS/patchelf,A small utility to modify the dynamic linker and RPATH of ELF executables.,command-line-tools,https://github.com/NixOS/patchelf,https://github.com/NixOS/patchelf,GPL-3.0,2011-12-06 21:27:51,2025-12-15 01:02:35,2025-11-11 16:03:03,981.0,6.0,500.0,75.0,337.0,114.0,175.0,4108.0,99.0,25,True,1.0,2025-08-13 03:38:12,0.15.5,8845911.0,138217.0,32.0,,,,,,,
7,install-nix-action,cachix/install-nix-action,Installs Nix on GitHub Actions for the supported platforms: Linux and macOS.,github-actions,https://github.com/cachix/install-nix-action,https://github.com/cachix/install-nix-action,Apache-2.0,2019-10-02 09:31:59,2025-12-28 17:34:29,2025-12-11 15:19:38,388.0,21.0,87.0,10.0,150.0,16.0,98.0,640.0,34.0,25,True,1.0,2025-12-11 15:22:09,31.9.0,,,51.0,35540.0,35540.0,,,,,
8,nix-installer,DeterminateSystems/nix-installer,Opinionated alternative to the official Nix install scripts.,installation-media,https://github.com/DeterminateSystems/nix-installer,https://github.com/DeterminateSystems/nix-installer,LGPL-2.1,2022-09-02 19:10:48,2025-12-28 00:04:10,2025-12-24 04:31:04,794.0,19.0,90.0,14.0,855.0,379.0,499.0,3338.0,34.0,24,True,1.0,2025-12-24 04:31:09,3.15.1,965313.0,28391.0,100.0,3.0,3.0,,,,,
9,nixos-hardware,NixOS/nixos-hardware,A collection of NixOS modules covering hardware quirks.,nixos-modules,https://github.com/NixOS/nixos-hardware,https://github.com/NixOS/nixos-hardware,CC0-1.0,2016-02-08 10:50:14,2025-12-24 09:47:20,2025-12-24 09:34:15,2543.0,107.0,831.0,61.0,1306.0,168.0,230.0,2857.0,504.0,23,True,1.0,2021-05-29 08:24:13,mnt-reform2-nitrogen8m-v1,1584.0,28.0,2.0,,,,,,,
10,NUR,nix-community/NUR,Nix User Repositories.,overlays,https://github.com/nix-community/NUR,https://github.com/nix-community/NUR,MIT,2018-02-28 18:49:50,2025-12-28 23:50:32,2025-12-28 23:47:09,37632.0,2728.0,453.0,16.0,919.0,30.0,97.0,1726.0,564.0,23,True,1.0,,,,,,,,,,,,
11,treefmt,numtide/treefmt,"One CLI to format the code tree, using formatters such as alejandra, prettier, etc.",command-line-tools,https://github.com/numtide/treefmt,https://github.com/numtide/treefmt,MIT,2020-12-18 10:30:54,2025-12-23 10:18:50,2025-12-23 10:18:48,796.0,30.0,48.0,13.0,432.0,56.0,157.0,890.0,21.0,23,True,1.0,2025-10-18 17:45:57,2.4.0,80092.0,1456.0,29.0,8.0,8.0,,,,,
12,haskell.nix,input-output-hk/haskell.nix,Alternative Haskell Infrastructure for Nixpkgs.,programming-languages,https://github.com/input-output-hk/haskell.nix,https://github.com/input-output-hk/haskell.nix,Apache-2.0,2018-04-20 16:00:09,2025-12-28 00:52:36,2025-12-28 00:52:36,4070.0,100.0,247.0,18.0,1489.0,166.0,802.0,617.0,161.0,23,True,1.0,2025-06-25 08:28:33,nix-tools-0.3.8,17940.0,854.0,15.0,,,['haskell'],,,,
13,flox,flox/flox,"Manage and share development environments, package projects, and publish artifacts anywhere.",development,https://github.com/flox/flox,https://github.com/flox/flox,GPL-2.0,2022-12-22 15:52:43,2025-12-28 20:49:32,2025-12-26 17:20:07,4072.0,324.0,105.0,19.0,2232.0,371.0,1239.0,3694.0,51.0,22,True,1.0,2025-12-17 03:38:17,1.8.0,20.0,0.0,56.0,,,,,,,
14,NixVim,nix-community/nixvim,A NeoVim distribution built with Nix modules and Nixpkgs.,editors-and-ides,https://github.com/nix-community/nixvim,https://github.com/nix-community/nixvim,MIT,2020-12-30 01:08:04,2025-12-28 17:10:21,2025-12-28 17:07:12,4308.0,551.0,359.0,12.0,3012.0,142.0,752.0,2546.0,270.0,22,True,1.0,,,,,,,,,,,,
15,nixfmt,NixOS/nixfmt,"A formatter for Nix code, intended to easily apply a uniform style.",command-line-tools,https://github.com/NixOS/nixfmt,https://github.com/NixOS/nixfmt,MPL-2.0,2018-08-02 12:33:51,2025-11-25 19:43:09,2025-11-25 19:43:09,621.0,26.0,63.0,29.0,173.0,25.0,162.0,1378.0,36.0,22,True,1.0,2025-10-07 16:00:45,1.1.0,9064.0,117.0,9.0,,,,,,,
16,nvf,notashelf/nvf,"Highly modular, configurable, extensible and easy to use Neovim configuration in Nix.",editors-and-ides,https://github.com/NotAShelf/nvf,https://github.com/NotAShelf/nvf,MIT,2023-02-01 17:13:58,2025-12-28 22:53:49,2025-12-24 17:17:49,2803.0,138.0,182.0,6.0,801.0,83.0,304.0,1275.0,119.0,22,True,1.0,2025-12-12 12:21:36,0.8,,,7.0,,,,,,,
17,update-flake-lock,DeterminateSystems/update-flake-lock,This is a GitHub Action that updates the flake.lock file for your Nix flake whenever it is run.,github-actions,https://github.com/DeterminateSystems/update-flake-lock,https://github.com/DeterminateSystems/update-flake-lock,MIT,2021-10-18 18:39:57,2025-12-28 00:01:32,2025-12-10 20:29:30,305.0,33.0,42.0,5.0,177.0,25.0,29.0,364.0,28.0,22,True,2.0,2025-11-26 21:23:21,28,,,28.0,3299.0,3299.0,,,,,
18,nix-darwin,nix-darwin/nix-darwin,Manage macOS configuration just like on NixOS.,nixos-modules,https://github.com/nix-darwin/nix-darwin,https://github.com/nix-darwin/nix-darwin,MIT,2016-10-16 14:26:46,2025-12-26 21:47:52,2025-12-26 21:26:36,2301.0,39.0,569.0,32.0,877.0,289.0,503.0,4839.0,272.0,21,True,1.0,,,,,,,,,,,,
19,nix.dev,NixOS/nix.dev,Official documentation for getting things done with Nix.,learning,https://github.com/NixOS/nix.dev,https://github.com/NixOS/nix.dev,CC-BY-SA-4.0,2016-05-04 10:32:21,2025-12-26 03:10:56,2025-12-25 22:47:11,1919.0,14.0,304.0,37.0,864.0,128.0,190.0,3505.0,188.0,21,True,1.0,,,,,,,,,,,,
20,Stylix,nix-community/stylix,System-wide colorscheming and typography for NixOS.,theming,https://github.com/nix-community/stylix,https://github.com/nix-community/stylix,MIT,2020-12-21 15:50:00,2025-12-24 19:15:41,2025-12-24 19:03:46,1318.0,113.0,290.0,12.0,1396.0,186.0,426.0,2060.0,177.0,21,True,1.0,,,,,,,,,,,,
21,nixos-apple-silicon,nix-community/nixos-apple-silicon,Resources to install NixOS bare metal on Apple Silicon Macs.,installation-media,https://github.com/nix-community/nixos-apple-silicon,https://github.com/nix-community/nixos-apple-silicon,MIT,2021-12-14 00:25:40,2025-12-22 20:18:54,2025-12-18 13:25:15,673.0,39.0,131.0,31.0,168.0,33.0,194.0,1313.0,40.0,21,True,1.0,2025-11-20 01:51:21,release-2025-11-18,4278.0,95.0,86.0,,,,-1.0,,,
22,Athena,Athena-OS/athena,Arch/Nix-based distro focused on Cybersecurity.,distributions,https://github.com/Athena-OS/athena,https://github.com/Athena-OS/athena,MIT,2022-06-14 21:39:15,2025-12-07 12:29:33,2025-12-07 12:29:31,591.0,80.0,96.0,29.0,19.0,9.0,138.0,1176.0,8.0,21,True,1.0,2025-10-14 16:48:02,25.11,15897.0,378.0,14.0,,,,,,,
23,nix-bitcoin,fort-nix/nix-bitcoin,Modules and packages for Bitcoin nodes with higher-layer protocols with an emphasis on security.,nixos-modules,https://github.com/fort-nix/nix-bitcoin,https://github.com/fort-nix/nix-bitcoin,MIT,2018-12-06 16:06:42,2025-11-24 12:55:48,2025-11-24 12:50:28,2176.0,12.0,119.0,19.0,598.0,36.0,177.0,590.0,31.0,21,True,1.0,2025-11-24 12:55:42,0.0.134,8250.0,142.0,100.0,,,,,,,
24,nix-index-database,nix-community/nix-index-database,Weekly updated nix-index database.,command-line-tools,https://github.com/nix-community/nix-index-database,https://github.com/nix-community/nix-index-database,MIT,2020-12-09 08:37:01,2025-12-15 01:04:40,2025-12-09 07:59:41,556.0,34.0,46.0,3.0,129.0,3.0,39.0,473.0,37.0,21,True,1.0,2025-12-09 08:18:11,2025-12-09-080420,520808.0,23673.0,100.0,,,,,,,
25,nix-installer-action,DeterminateSystems/nix-installer-action,"The fast, friendly, and reliable GitHub Action to install Nix with Flakes.",github-actions,https://github.com/DeterminateSystems/nix-installer-action,https://github.com/DeterminateSystems/nix-installer-action,LGPL-2.1,2023-01-13 18:03:12,2025-12-09 18:54:51,2025-12-09 18:54:50,354.0,11.0,25.0,3.0,174.0,16.0,25.0,214.0,14.0,21,True,3.0,2025-11-12 14:16:39,21,,,21.0,7557.0,7557.0,,,,,
26,nixos-anywhere,nix-community/nixos-anywhere,Install NixOS everywhere via SSH.,installation-media,https://github.com/nix-community/nixos-anywhere,https://github.com/nix-community/nixos-anywhere,MIT,2022-11-09 12:36:38,2025-12-28 03:27:14,2025-12-23 15:17:24,867.0,15.0,177.0,18.0,401.0,70.0,140.0,2723.0,79.0,20,True,2.0,2025-11-13 15:01:46,1.13.0,,,16.0,,,,,,,
27,nix-direnv,nix-community/nix-direnv,A fast loader and flake-compliant configuration for the direnv environment auto-loader.,development,https://github.com/nix-community/nix-direnv,https://github.com/nix-community/nix-direnv,MIT,2019-09-27 07:43:47,2025-12-28 02:51:46,2025-12-28 02:48:05,1069.0,65.0,130.0,15.0,439.0,6.0,212.0,2461.0,80.0,20,True,1.0,2025-05-09 15:21:02,3.0.7,,,37.0,,,,,,,
28,ryan4yin/nix-config,ryan4yin/nix-config,Nix config for both desktops(NixOS+macOS) and homelab servers(NixOS).,nix-configurations,https://github.com/ryan4yin/nix-config,https://github.com/ryan4yin/nix-config,MIT,2023-04-22 17:29:16,2025-12-25 05:17:23,2025-12-25 05:17:21,1946.0,68.0,88.0,10.0,176.0,,62.0,1713.0,14.0,20,True,1.0,2025-12-19 02:10:34,0.14.0,,,32.0,,,,,,,
29,alejandra,kamadorueda/alejandra,An opinionated Nix code formatter optimized for speed and consistency.,command-line-tools,https://github.com/kamadorueda/alejandra,https://github.com/kamadorueda/alejandra,Unlicense,2022-01-26 22:52:25,2025-07-03 03:30:47,2025-07-03 03:30:46,564.0,,50.0,7.0,311.0,62.0,98.0,1265.0,25.0,20,True,1.0,2025-04-10 22:34:11,4.0.0,31283.0,680.0,19.0,10.0,10.0,,,,,
30,nixd,nix-community/nixd,"Nix language server, based on Nix libraries.",development,https://github.com/nix-community/nixd,https://github.com/nix-community/nixd,LGPL-3.0,2023-05-10 08:41:17,2025-12-27 08:12:07,2025-12-26 04:34:41,1317.0,16.0,54.0,8.0,473.0,59.0,214.0,1244.0,46.0,20,True,1.0,2025-12-26 04:39:26,2.8.1,,,30.0,,,,,,,
31,crane,ipetkov/crane,A Nix library for building Cargo projects with incremental artifact caching.,programming-languages,https://github.com/ipetkov/crane,https://github.com/ipetkov/crane,MIT,2022-01-16 04:23:52,2025-12-26 19:01:27,2025-12-26 18:49:32,794.0,30.0,116.0,6.0,499.0,25.0,272.0,1238.0,65.0,20,True,1.0,2025-12-26 19:02:24,0.22.0,,,57.0,,,['rust'],,,,
32,poetry2nix,nix-community/poetry2nix,Build Python packages directly from Poetrys `poetry.lock` files.,programming-languages,https://github.com/nix-community/poetry2nix,https://github.com/nix-community/poetry2nix,MIT,2019-06-17 15:26:38,2025-12-28 21:49:48,2025-04-03 14:27:04,3486.0,,451.0,7.0,1416.0,170.0,324.0,937.0,334.0,20,True,1.0,2025-03-19 15:29:55,2025.3.1955794,,,100.0,,,['python'],,,,
33,magic-nix-cache-action,DeterminateSystems/magic-nix-cache-action,"Save 30-50%+ of CI time without any effort or cost. Use Magic Nix Cache, a totally free and zero-configuration binary..",github-actions,https://github.com/DeterminateSystems/magic-nix-cache-action,https://github.com/DeterminateSystems/magic-nix-cache-action,MIT,2023-06-23 16:48:28,2025-12-18 22:47:15,2025-12-02 02:08:15,298.0,3.0,29.0,6.0,123.0,22.0,13.0,483.0,13.0,20,True,3.0,2025-07-15 02:38:56,13,,,13.0,5247.0,5247.0,,,,,
34,crate2nix,nix-community/crate2nix,rebuild only changed crates in CI with crate2nix and nix.,programming-languages,https://github.com/nix-community/crate2nix,https://github.com/nix-community/crate2nix,Apache-2.0,2019-03-24 22:00:59,2025-12-24 13:10:04,2025-02-13 19:12:43,1357.0,,99.0,10.0,199.0,101.0,114.0,449.0,51.0,20,True,1.0,2024-06-30 15:14:42,0.14.1,,,18.0,51.0,51.0,['rust'],,,,
35,NixOS & Flakes Book,ryan4yin/nixos-and-flakes-book,An unofficial and opinionated NixOS & Flakes book for beginners.,learning,https://github.com/ryan4yin/nixos-and-flakes-book,https://github.com/ryan4yin/nixos-and-flakes-book,CC-BY-SA-4.0,2023-06-23 05:59:01,2025-12-26 07:29:52,2025-12-26 07:29:36,638.0,9.0,137.0,17.0,146.0,3.0,49.0,2926.0,84.0,19,True,1.0,2025-12-26 07:08:20,0.6.0,1700.0,60.0,41.0,,,,,,,
36,microvm,astro/microvm.nix,NixOS-based MicroVMs.,virtualisation,https://github.com/microvm-nix/microvm.nix,https://github.com/microvm-nix/microvm.nix,MIT,2021-06-24 00:35:04,2025-12-25 12:06:53,2025-12-25 12:06:53,1041.0,54.0,162.0,20.0,245.0,48.0,159.0,2059.0,83.0,19,True,1.0,,,,,,,,,,microvm-nix/microvm.nix,,
37,comma,nix-community/comma,Quickly run any binary; wraps together `nix run` and `nix-index`.,command-line-tools,https://github.com/nix-community/comma,https://github.com/nix-community/comma,MIT,2020-04-28 22:00:21,2025-12-08 12:48:18,2025-12-08 12:48:09,206.0,7.0,57.0,42.0,70.0,6.0,38.0,1473.0,28.0,19,True,1.0,2025-07-29 12:52:53,2.3.3,,,23.0,,,,,,,
38,lanzaboote,nix-community/lanzaboote,Secure Boot for NixOS.,nixos-modules,https://github.com/nix-community/lanzaboote,https://github.com/nix-community/lanzaboote,GPL-3.0,2022-11-21 11:10:07,2025-12-24 13:18:49,2025-12-24 13:17:57,919.0,72.0,86.0,18.0,362.0,35.0,132.0,1470.0,45.0,19,True,2.0,2025-12-10 16:06:43,1.0.0,,,8.0,,,,,,,
39,rust-overlay,oxalica/rust-overlay,Pure and reproducible nix overlay of binary distributed Rust toolchains.,programming-languages,https://github.com/oxalica/rust-overlay,https://github.com/oxalica/rust-overlay,MIT,2021-01-01 12:18:06,2025-12-28 02:53:22,2025-12-28 02:52:55,2024.0,92.0,83.0,8.0,77.0,14.0,153.0,1362.0,25.0,19,True,1.0,,,,,,,,['rust'],,,,
40,mobile-nixos,mobile-nixos/mobile-nixos,NixOS for mobile devices like phones.,distributions,https://github.com/mobile-nixos/mobile-nixos,https://github.com/mobile-nixos/mobile-nixos,MIT,2018-06-10 01:00:58,2025-11-13 20:18:58,2025-11-13 20:18:58,3139.0,7.0,204.0,46.0,540.0,141.0,167.0,1207.0,51.0,19,True,1.0,,,,,,,,,-1.0,,,
41,hnix,haskell-nix/hnix,A Haskell re-implementation of the Nix expression language.,programming-languages,https://github.com/haskell-nix/hnix,https://github.com/haskell-nix/hnix,BSD-3-Clause,2014-06-28 23:30:50,2025-11-21 01:08:44,2025-11-21 01:08:38,3683.0,7.0,116.0,32.0,591.0,132.0,368.0,822.0,64.0,19,True,1.0,2023-11-20 21:43:20,0.17.0,,,26.0,,,['haskell'],,,,
42,git-hooks.nix,cachix/git-hooks.nix,Seamless integration of git hooks with Nix.,development,https://github.com/cachix/git-hooks.nix,https://github.com/cachix/git-hooks.nix,Apache-2.0,2019-08-16 13:01:11,2025-12-16 19:06:17,2025-12-16 19:06:16,1147.0,60.0,206.0,4.0,476.0,57.0,135.0,749.0,149.0,19,True,1.0,,,,,,,,,,,,
43,nix-update,Mic92/nix-update,Update versions/source hashes of nix packages.,development,https://github.com/Mic92/nix-update,https://github.com/Mic92/nix-update,MIT,2020-03-05 11:31:09,2025-12-28 03:31:41,2025-12-28 03:31:40,906.0,79.0,86.0,9.0,393.0,42.0,88.0,686.0,71.0,19,True,1.0,2025-12-11 21:03:54,1.14.0,,,48.0,,,,,,,
44,emacs-overlay,nix-community/emacs-overlay,Bleeding edge Emacs overlay.,overlays,https://github.com/nix-community/emacs-overlay,https://github.com/nix-community/emacs-overlay,,2018-12-28 10:46:06,2025-12-28 17:12:33,2025-12-28 17:12:32,17952.0,605.0,173.0,10.0,220.0,7.0,292.0,589.0,85.0,19,True,1.0,,,,,,,,,,,,
45,nixpkgs-review,Mic92/nixpkgs-review,The best tool to verify that a pull-request in Nixpkgs is building properly.,development,https://github.com/Mic92/nixpkgs-review,https://github.com/Mic92/nixpkgs-review,MIT,2018-03-17 13:30:00,2025-12-22 21:36:14,2025-12-22 19:39:19,950.0,13.0,88.0,9.0,371.0,59.0,150.0,553.0,72.0,19,True,1.0,2025-12-22 21:36:14,3.6.0,,,41.0,,,,1.0,,,
46,nixos-images,nix-community/nixos-images,Automatically build (netboot) images for NixOS.,installation-media,https://github.com/nix-community/nixos-images,https://github.com/nix-community/nixos-images,MIT,2021-06-10 04:52:45,2025-12-28 03:36:06,2025-12-26 17:26:55,671.0,27.0,56.0,5.0,357.0,6.0,27.0,351.0,25.0,19,True,2.0,2025-12-26 17:30:28,nixos-25.11,22041.0,459.0,13.0,,,,1.0,,,
47,awesome-nix,nix-community/awesome-nix,A curated list of the best resources in the Nix community.,learning,https://github.com/nix-community/awesome-nix,https://github.com/nix-community/awesome-nix,CC0-1.0,2019-05-15 14:59:41,2025-12-12 00:08:50,2025-11-12 02:40:25,380.0,18.0,189.0,77.0,281.0,7.0,29.0,4710.0,120.0,18,True,2.0,,,,,,8.0,8.0,,,,,
48,NixOps,NixOS/nixops,"The official Nix deployment tool, compatible with AWS, Hetzner, and more.",deployment-tools,https://github.com/NixOS/nixops,https://github.com/NixOS/nixops,LGPL-3.0,2011-10-24 15:49:58,2025-12-28 16:45:15,2025-12-28 16:45:15,3603.0,2.0,355.0,55.0,606.0,311.0,539.0,2086.0,159.0,18,True,1.0,,,,,,,,,,,,
49,digga,divnix/digga,"A Nix flake utility library to structure your home, system, and development configurations.",development,https://github.com/divnix/digga,https://github.com/divnix/digga,MIT,2019-11-12 22:28:16,2024-05-17 10:20:04,2024-05-17 10:19:41,1358.0,,104.0,22.0,248.0,28.0,172.0,1023.0,53.0,18,False,1.0,2022-04-02 22:16:50,0.11.0,,,4.0,,,,,,,
50,Jovian-NixOS,Jovian-Experiments/Jovian-NixOS,NixOS modules for gaming with Steam Deck compatibility.,nixos-modules,https://github.com/Jovian-Experiments/Jovian-NixOS,https://github.com/Jovian-Experiments/Jovian-NixOS,MIT,2022-03-23 02:29:23,2025-12-24 07:24:30,2025-12-24 07:24:18,1463.0,97.0,79.0,25.0,342.0,41.0,114.0,865.0,22.0,18,True,2.0,,,,,,,,,,,,
51,comin,nlewo/comin,A deployment tool to continuously pull from Git repositories.,deployment-tools,https://github.com/nlewo/comin,https://github.com/nlewo/comin,MIT,2022-12-10 09:13:26,2025-12-28 08:29:07,2025-12-28 08:29:06,341.0,47.0,39.0,7.0,72.0,30.0,25.0,774.0,19.0,18,True,1.0,2025-10-11 08:25:48,0.9.0,,,10.0,,,,1.0,,,
52,catppuccin/nix,catppuccin/nix,Catppuccin for Nix brings the soothing pastel aesthetics of the Catppuccin theme to your NixOS and home-manager..,theming,https://github.com/catppuccin/nix,https://github.com/catppuccin/nix,MIT,2023-03-27 01:56:44,2025-12-26 00:26:21,2025-12-17 16:52:38,562.0,31.0,84.0,5.0,556.0,40.0,184.0,652.0,75.0,18,True,2.0,2025-08-02 01:03:45,25.05,,,8.0,,,,,,,
53,nixpkgs-wayland,nix-community/nixpkgs-wayland,Bleeding-edge Wayland packages.,overlays,https://github.com/nix-community/nixpkgs-wayland,https://github.com/nix-community/nixpkgs-wayland,,2018-10-24 01:30:44,2025-12-28 13:12:26,2025-12-28 13:10:11,10843.0,260.0,45.0,6.0,265.0,46.0,189.0,587.0,34.0,18,True,1.0,,,,,,,,,,,,
54,lix,lix-project/lix,"A modern, delicious implementation of the Nix package manager, focused on correctness, usability, and growth.",command-line-tools,https://github.com/lix-project/lix,https://github.com/lix-project/lix,LGPL-2.1,2024-02-26 00:52:04,2025-12-27 07:09:02,2025-12-27 06:05:15,18705.0,321.0,14.0,9.0,17.0,,,493.0,699.0,18,True,1.0,,,,,,4.0,4.0,,,,,
55,vscode-nix-ide,nix-community/vscode-nix-ide,Nix language support for Visual Studio Code.,editors-and-ides,https://github.com/nix-community/vscode-nix-ide,https://github.com/nix-community/vscode-nix-ide,MIT,2020-07-12 23:06:57,2025-12-27 09:21:17,2025-12-27 09:21:04,475.0,40.0,38.0,6.0,438.0,15.0,66.0,449.0,34.0,18,True,2.0,2025-12-27 09:14:59,0.5.5,440.0,7.0,40.0,,,,,,,
56,nix-fast-build,Mic92/nix-fast-build,Combine the power of nix-eval-jobs with nix-output-monitor to speed-up your evaluation and building process.,development,https://github.com/Mic92/nix-fast-build,https://github.com/Mic92/nix-fast-build,MIT,2023-09-08 08:11:43,2025-12-28 21:02:32,2025-12-28 21:02:31,376.0,62.0,24.0,4.0,234.0,10.0,27.0,432.0,15.0,18,True,1.0,2025-08-14 13:07:18,1.3.0,,,4.0,,,,,,,
57,ngipkgs,ngi-nix/ngipkgs,Nix packages and services for projects supported through the NGI program.,overlays,https://github.com/ngi-nix/ngipkgs,https://github.com/ngi-nix/ngipkgs,MIT,2023-02-14 11:21:46,2025-12-22 03:48:36,2025-12-18 14:55:21,1703.0,249.0,50.0,6.0,916.0,313.0,692.0,72.0,62.0,18,True,1.0,,,,,,,,,,,,
58,dustinlyons/nixos-config,dustinlyons/nixos-config,General purpose Nix configuration for macOS / NixOS (with starter templates).,nix-configurations,https://github.com/dustinlyons/nixos-config,https://github.com/dustinlyons/nixos-config,BSD-3-Clause,2021-10-22 07:25:20,2025-12-18 13:36:11,2025-12-18 13:36:08,2335.0,21.0,188.0,18.0,39.0,28.0,84.0,3268.0,18.0,17,True,2.0,,,,,,,,,,,,
59,nh,nix-community/nh,"Better output for `nix`, `nixos-rebuild`, `home-manager` and nix-darwin CLI leveraging `dix` and `nix-output-monitor`.",command-line-tools,https://github.com/nix-community/nh,https://github.com/nix-community/nh,EUPL-1.2,2022-02-08 19:42:42,2025-12-27 14:06:13,2025-12-27 14:06:10,898.0,121.0,78.0,6.0,211.0,63.0,221.0,2222.0,44.0,17,True,2.0,,,,,,1.0,1.0,,,,,
60,hlissner/dotfiles,hlissner/dotfiles,A comprehensive NixOS configuration example with detailed module structure.,nix-configurations,https://github.com/hlissner/dotfiles,https://github.com/hlissner/dotfiles,MIT,2013-03-01 08:33:14,2025-12-19 10:23:10,2025-12-19 10:21:19,2671.0,31.0,99.0,41.0,10.0,4.0,25.0,1862.0,7.0,17,True,2.0,,,,,,,,,,,,
61,nix-ld,nix-community/nix-ld,Run unpatched dynamic binaries on NixOS.,development,https://github.com/nix-community/nix-ld,https://github.com/nix-community/nix-ld,MIT,2020-11-15 09:46:18,2025-12-22 08:18:09,2025-12-22 08:17:06,478.0,33.0,20.0,13.0,171.0,9.0,30.0,1474.0,17.0,17,True,2.0,2025-10-01 21:29:45,2.0.6,,,16.0,,,,,,,
62,nix-output-monitor,maralorn/nix-output-monitor,A tool to produce useful graphs and statistics when building derivations.,command-line-tools,https://github.com/maralorn/nix-output-monitor,https://github.com/maralorn/nix-output-monitor,AGPL-3.0,2020-10-03 14:25:34,2025-12-17 16:49:37,2025-12-17 16:49:29,638.0,77.0,44.0,10.0,57.0,87.0,91.0,1337.0,22.0,17,True,2.0,2022-10-15 10:21:00,2.0.0.0,,,18.0,,,,,,,
63,nix-index,nix-community/nix-index,Quickly locate Nix packages with specific files.,command-line-tools,https://github.com/nix-community/nix-index,https://github.com/nix-community/nix-index,,2017-02-10 15:50:02,2025-08-25 09:19:14,2025-08-25 09:19:14,321.0,,67.0,7.0,171.0,69.0,52.0,1162.0,34.0,17,True,2.0,2025-07-17 14:30:55,0.1.9,,,6.0,28.0,28.0,,,,,
64,morph,DBCDK/morph,A tool for managing existing NixOS hosts.,deployment-tools,https://github.com/DBCDK/morph,https://github.com/DBCDK/morph,MIT,2018-09-24 08:05:12,2025-11-24 09:26:17,2025-11-24 09:26:09,406.0,3.0,69.0,26.0,149.0,53.0,60.0,1004.0,33.0,17,True,1.0,2024-10-23 08:41:20,1.8.0,,,10.0,,,,,,,
65,fenix,nix-community/fenix,Rust toolchains and Rust analyzer nightly for nix.,programming-languages,https://github.com/nix-community/fenix,https://github.com/nix-community/fenix,MPL-2.0,2021-01-02 22:51:56,2025-12-28 07:09:54,2025-12-28 06:47:08,2507.0,101.0,61.0,9.0,116.0,32.0,70.0,956.0,31.0,17,True,2.0,,,,,,,,['rust'],,,,
66,mach-nix,DavHau/mach-nix,Create highly reproducible python environments.,programming-languages,https://github.com/DavHau/mach-nix,https://github.com/DavHau/mach-nix,MIT,2020-04-22 09:32:18,2024-05-20 21:27:05,2024-05-09 13:40:43,564.0,,109.0,9.0,149.0,208.0,227.0,894.0,47.0,17,False,2.0,2022-06-01 12:00:53,3.5.0,,,19.0,3.0,3.0,['python'],,,,
